n, statements
1777, 1611893
1778, 1614996
1779, 1616375
1780, 1618658
1781, 1619863
1782, 1622982
1783, 1625183
1784, 1626812
1785, 1627417
1786, 1629942
1787, 1632607
1788, 1635896
1789, 1636805
1790, 1637692
1791, 1641123
1792, 1643262
1793, 1643827
1794, 1645648
1795, 1649029
1796, 1650250
1797, 1650915
1798, 1653036
1799, 1653329
1800, 1654296
1801, 1654859
1802, 1656278
1803, 1658301
1804, 1660634
1805, 1663175
1806, 1663518
1807, 1667129
1808, 1669920
1809, 1672291
1810, 1673908
1811, 1674367
1812, 1677740
1813, 1680785
1814, 1683726
1815, 1686237
1816, 1688586
1817, 1689815
1818, 1690740
1819, 1690845
1820, 1693752
1821, 1695595
1822, 1698050
1823, 1699659
1824, 1702656
1825, 1705343
1826, 1706312
1827, 1707175
1828, 1709866
1829, 1712017
1830, 1713296
1831, 1716595
1832, 1717296
1833, 1719493
1834, 1719742
1835, 1721301
1836, 1722380
1837, 1725181
1838, 1727542
1839, 1728517
1840, 1730060
1841, 1732417
1842, 1732594
1843, 1732723
1844, 1733128
1845, 1735901
1846, 1738492
1847, 1739389
1848, 1742652
1849, 1743347
1850, 1746976
1851, 1749983
1852, 1750114
1853, 1751905
1854, 1753118
1855, 1755551
1856, 1755600
1857, 1756623
1858, 1758850
1859, 1761375
1860, 1762236
1861, 1763577
1862, 1764704
1863, 1768423
1864, 1768704
1865, 1771259
1866, 1772658
1867, 1773927
1868, 1774398
1869, 1777231
1870, 1777482
1871, 1779383
1872, 1779508
1873, 1782869
1874, 1784620
1875, 1785799
1876, 1786132
1877, 1786673
1878, 1788782
1879, 1791833
1880, 1792392
1881, 1792747
1882, 1792788
1883, 1793801
1884, 1796404
1885, 1800065
1886, 1802784
1887, 1804863
1888, 1808146
1889, 1810119
1890, 1812410
1891, 1813527
1892, 1813622
1893, 1815271
1894, 1816956
1895, 1818677
1896, 1819908
1897, 1820961
1898, 1824302
1899, 1826311
1900, 1827572
1901, 1830417
1902, 1830450
1903, 1833493
1904, 1835020
1905, 1838191
1906, 1841808
1907, 1842531
1908, 1843974
1909, 1844089
1910, 1847218
1911, 1848457
1912, 1849234
1913, 1851513
1914, 1854842
1915, 1857267
1916, 1860872
1917, 1863953
1918, 1865592
1919, 1868579
1920, 1871598
1921, 1871727
1922, 1872800
1923, 1875649
1924, 1879296
1925, 1881841
1926, 1883642
1927, 1883743
1928, 1887350
1929, 1887767
1930, 1889260
1931, 1892629
1932, 1893732
1933, 1896373
1934, 1897176
1935, 1898053
1936, 1899594
1937, 1901227
1938, 1903558
1939, 1905815
1940, 1906226
1941, 1907433
1942, 1908742
1943, 1908811
1944, 1909518
1945, 1912119
1946, 1912596
1947, 1915201
1948, 1918970
1949, 1920369
1950, 1922692
1951, 1923075
1952, 1925056
1953, 1926753
1954, 1929034
1955, 1929069
1956, 1932270
1957, 1934407
1958, 1935572
1959, 1936341
1960, 1937320
1961, 1938423
1962, 1941384
1963, 1942283
1964, 1944226
1965, 1946465
1966, 1948656
1967, 1951451
1968, 1954544
1969, 1955345
1970, 1957016
1971, 1958443
1972, 1959500
1973, 1959869
1974, 1960412
1975, 1961765
1976, 1963218
1977, 1965847
1978, 1966902
1979, 1970521
1980, 1972638
1981, 1974695
1982, 1976464
1983, 1976505
1984, 1976962
1985, 1980191
1986, 1983386
1987, 1985189
1988, 1986384
1989, 1987715
1990, 1990746
1991, 1992795
1992, 1996534
1993, 1996809
1994, 1998326
1995, 2001423
1996, 2005364
1997, 2005707
1998, 2008026
1999, 2009073
2000, 2009602
2001, 2011439
2002, 2015342
2003, 2016649
2004, 2017894
2005, 2018459
2006, 2019156
2007, 2022139
2008, 2022860
2009, 2024027
2010, 2025716
2011, 2026233
2012, 2026968
2013, 2028401
2014, 2032274
2015, 2033593
2016, 2035626
2017, 2039649
2018, 2041632
2019, 2041825
2020, 2043610
2021, 2047375
2022, 2050572
2023, 2052381
2024, 2055698
2025, 2056531
2026, 2058974
2027, 2059883
2028, 2060376
2029, 2063209
2030, 2064194
2031, 2065285
2032, 2065620
2033, 2067233
2034, 2068068
2035, 2071697
2036, 2072204
2037, 2076071
2038, 2079832
2039, 2080883
2040, 2081536
2041, 2082585
2042, 2083684
2043, 2087591
2044, 2088380
2045, 2088509
2046, 2088636
2047, 2091665
2048, 2093636
2049, 2094103
2050, 2095704
2051, 2096501
2052, 2097738
